Checked,name_en,name_ja,key_author,affiliation_en,affiliation_ja,mail
,"Abe, Hirokazu",阿部 浩和,阿部 浩和,,,
,"Abe, Hironobu",阿倍 博信,阿倍 博信,,,
1,"Abe, Shun ",阿部 隼,SHUN ABE,Osaka University,大阪大学,
,"Adachi, Tatsuya",足立 樹哉,足立 樹哉,,,
,AI-Sakib Khan Pathan,,AI-SAKIB KHAN PATHAN,,,
,"Aiko, Zennosuke",愛甲 善之助,愛甲 善之助,Osaka University,大阪大学,
1,"Aisaka, Kazuki",相坂 一樹,KAZUKI AISAKA,,,
,"Akahani, Jyunichi",赤埴 淳一,赤埴 淳一,,,
,"Akama, Koki",赤間 浩樹,赤間 浩樹,,,
,Akiko Yamazoe-Umemoto,,AKIKO YAMAZOE-UMEMOTO,,,
,Akinori Yonezawa,,AKINORI YONEZAWA,,,
1,"Akiyama, Toyokazu ",秋山 豊和,TOYOKAZU AKIYAMA,Osaka University,大阪大学,
,Al-Sakib Khan Pathan,,AL-SAKIB KHAN PATHAN,,,
1,"Amagata, Daich",天方 大地,DAICH AMAGATA,Osaka University,大阪大学,
1,"Ammae, Osamu",庵前 修,OSAMU AMMAE,,,
,Andrew Finch,,ANDREW FINCH,,,
,Anthony O. Abraham,,ANTHONY O. ABRAHAM,,,
,"Aoki, Kosuke",青木 功介,青木 功介,,,
,"Aoki, Yasuto",青木泰人,青木泰人,,,
,"Aoyama, Tomoki",青山 友紀,青山 友紀,,,
1,"Aramaki, Eiji",荒牧 英治,EIJI ARAMAKI,,,
1,"Arase, Yuki",荒瀬 由紀,ARASE YUKI,,,
,"Arikawa, Hushio",有川 節夫,有川節夫,,,
,"Arikawa, Masatoshi",有川 正俊,有川 正俊,,,
,"Ariki, Yasuo",有木 康雄,有木 康雄,,,
,"Aruga, Sadakazu",有賀 貞一,有賀 貞一,,,
1,"Ashikaga, Erika",足利 えりか,ERIKA ASHIKAGA,Osaka University,大阪大学,
,Athanasios V. Vasilakos,,ATHANASIOS V. VASILAKOS,,,
1,"Baba, Ken-ichi",馬場 健一,KEN-ICHI BABA,,,
,"Baku, Kun",莫 君,莫 君,,,
,Bich Lam Ngoc Ly,,BICH LAM NGOC LY,,,
,Cai Jing,,CAI JING,,,
,Cai Wei,,CAI WEI,,,
,Can Ma,,CAN MA,,,
,Canfeng Chen,,CANFENG CHEN,,,
,Canfeng-David Chen,,CANFENG-DAVID CHEN,,,
,Chang-Xiang Wang,,CHANG-XIANG WANG,,,
,Chen Min,,CHEN MIN,,,
,Chen-Hao Chan,,CHEN-HAO CHAN,,,
,Cheng Meng,,CHENG MENG,,,
,Cheng-Xiang Wang,,CHENG-XIANG WANG,,,
,Chien-Le Goh,,CHIEN-LE GOH,,,
